"genes","logFC","logCPM","F","PValue","FDR"
"RPL35A",0.593331261246555,8.60384973222366,12.8078227638046,0.00058755786298035,0.0470334838404671
"MYLK",0.982588225591877,5.94721319014191,12.7822262364292,0.000594529309417175,0.0470334838404671
"NKX3-2",-1.25345516324086,0.4994287959746,12.7708476758749,0.000597655743457697,0.0470334838404671
"TOPBP1",0.577991150760197,7.5634749838794,12.757120851003,0.000601450013462027,0.0470334838404671
"KPNA1",0.476626784391688,7.08447093153008,12.7477103899373,0.000604065554423477,0.0470334838404671
"KRT86",-1.18533228990359,1.05616106712488,12.7435329923314,0.000605230381965034,0.0470334838404671
"PFN2",1.51720497144969,6.63828417426896,12.7355012532773,0.000607476479563986,0.0470334838404671
"EXOSC3",0.369185417253825,4.78712250074173,12.7270204037421,0.000609857520296394,0.0470334838404671
"SYNDIG1",-1.50564534010716,1.32390871630331,12.7096576334786,0.000614762324986936,0.0470334838404671
"PRODH",-1.8008729818352,1.87722104770646,12.6988077522525,0.000617847977001446,0.0470334838404671
"WNT3A",-1.2080539376145,2.05260914470233,12.6969932588385,0.000618365569375829,0.0470334838404671
"TNIP3",1.70724938486649,3.32048989891743,12.6811921511154,0.000622891884862094,0.0470334838404671
"CADPS2",-0.796247730759493,4.86301001341866,12.6658726074415,0.000627312937194982,0.0470334838404671
"ARHGAP1",-0.358475111797943,7.10510742205483,12.6605648405736,0.000628852251253419,0.0470334838404671
"PSMB5",0.39775591838552,6.08487962003833,12.6578965064038,0.000629627572591133,0.0470334838404671
"DDOST",0.31629589519569,7.34467619268665,12.6254475117747,0.000639135492703503,0.0470387804834234
"CD177",-2.12238564006317,4.56458713528955,12.6241154925344,0.000639528944143409,0.0470387804834234
"ATP11B",0.633665041102381,7.95041182000118,12.6092960767243,0.000643923215027208,0.0470387804834234
"CENPA",0.635606245741927,3.84224432788895,12.5972775268722,0.000647509872149876,0.0470387804834234
"MRTO4",0.437060482702243,5.16828921717397,12.5972002569009,0.000647532998235824,0.0470387804834234
"RANBP17",-1.01327431127235,4.21442294310968,12.5958054116572,0.00064795060744805,0.0470387804834234
"DCUN1D1",0.561722193451524,6.80994268493656,12.5597747022247,0.000658834991767256,0.0474244771031329
"GEM",-1.16617426713392,5.10833070559647,12.5579295773311,0.000659397437571854,0.0474244771031329
"IL12RB2",1.21876673450532,5.05941161714005,12.5351958305663,0.000666368174480731,0.0477039401944238
"NTN1",-1.05073249110724,6.03076446286173,12.4897579163576,0.000680529686018013,0.0484932282714126
"CDCA8",0.486937247495377,5.43143597981884,12.4607312249495,0.000689738809131557,0.0489239963559691
"OXER1",-1.03645038005315,1.72586134333839,12.4163157013039,0.000704080276987852,0.0496611810000075
"FMOD",-0.82405983560691,5.82440017880111,12.4087461789308,0.000706554990622883,0.0496611810000075
